PHASE 901 Spring Movement
POSITIONS
	Kingdom of Denmark: fleet jel
	Neutral: army cyp
	Neutral: army est
	East Frankish Kingdom: army bav
	East Frankish Kingdom: army sax
	Khaganate of Khazaria: army tam
	Kingdom of Denmark: army vik
	Kingdom of Denmark: fleet jor/ec
	Neutral: army sad
	Kingdom of Denmark: fleet sca
	Neutral: army pec
	Principality of Kiev: army smo
	Abbasid Caliphate: army isf
	Neutral: army cre
	Neutral: army bas
	Neutral: army maz
	Neutral: army bja
	Principality of Kiev: fleet nov
	Tulunid Emirate: army ale
	Neutral: army ifr
	Tulunid Emirate: fleet jer
	Principality of Kiev: army kie
	Abbasid Caliphate: army ard
	Eastern Roman Empire: fleet crn
	Umayyad Emirate: army snc
	Umayyad Emirate: army cod
	Neutral: army dal
	Neutral: army thr
	Tulunid Emirate: fleet bar
	West Frankish Kingdom: army gas
	Neutral: army cos
	West Frankish Kingdom: fleet par
	Neutral: army low
	Abbasid Caliphate: army ira
	East Frankish Kingdom: army swa
	Eastern Roman Empire: fleet att
	Neutral: army btt
	Neutral: army bor
	Neutral: army mav
	Neutral: army bul
	Principality of Kiev: army ros
	Umayyad Emirate: fleet cad
	West Frankish Kingdom: army aqt
	Eastern Roman Empire: army con
	Neutral: army lot
	Neutral: army sic
	Neutral: army rom
	West Frankish Kingdom: army nar
	Tulunid Emirate: army dam
	Abbasid Caliphate: army bag
	Neutral: army wsx
	Neutral: army pam
	East Frankish Kingdom: fleet bre
	Umayyad Emirate: fleet val
	Neutral: army aze
	Neutral: army dub
	Neutral: army geo
	Khaganate of Khazaria: army bnj
	Eastern Roman Empire: fleet tar
	Neutral: army urg
	Neutral: army mau
	Khaganate of Khazaria: army sak
	Neutral: army arm
	Khaganate of Khazaria: army ati
	East Frankish Kingdom: supply bre
	East Frankish Kingdom: supply bav
	Kingdom of Denmark: supply jel
	Kingdom of Denmark: supply sca
	Khaganate of Khazaria: supply sak
	Tulunid Emirate: supply bar
	Umayyad Emirate: supply cod
	Principality of Kiev: supply smo
	West Frankish Kingdom: supply gas
	Tulunid Emirate: supply jer
	Umayyad Emirate: supply snc
	Principality of Kiev: supply nov
	Khaganate of Khazaria: supply bnj
	Abbasid Caliphate: supply ard
	Eastern Roman Empire: supply att
	Eastern Roman Empire: supply crn
	Eastern Roman Empire: supply con
	Principality of Kiev: supply ros
	Kingdom of Denmark: supply jor
	Tulunid Emirate: supply dam
	Abbasid Caliphate: supply bag
	East Frankish Kingdom: supply sax
	West Frankish Kingdom: supply aqt
	Abbasid Caliphate: supply isf
	Abbasid Caliphate: supply ira
	East Frankish Kingdom: supply swa
	Umayyad Emirate: supply cad
	Khaganate of Khazaria: supply ati
	West Frankish Kingdom: supply par
	Kingdom of Denmark: supply vik
	West Frankish Kingdom: supply nar
	Tulunid Emirate: supply ale
	Eastern Roman Empire: supply tar
	Umayyad Emirate: supply val
	Principality of Kiev: supply kie
	Khaganate of Khazaria: supply tam
	Neutral: supply bor
	Neutral: supply pam
	Neutral: supply cyp
	Neutral: supply bas
	Neutral: supply btt
	Neutral: supply maz
	Neutral: supply dub
	Neutral: supply dal
	Neutral: supply mav
	Neutral: supply low
	Neutral: supply sad
	Neutral: supply rom
	Neutral: supply geo
	Neutral: supply aze
	Neutral: supply lot
	Neutral: supply pec
	Neutral: supply arm
	Neutral: supply ifr
	Neutral: supply cos
	Neutral: supply sic
	Neutral: supply est
	Neutral: supply thr
	Neutral: supply bja
	Neutral: supply urg
	Neutral: supply wsx
	Neutral: supply cre
	Neutral: supply bul
	Neutral: supply mau
ORDERS
	att move cil
	crn move pec/ec
	tar support rom move sle
	con support dal move mac
	bnj hold
	ati move bas
	tam support crn move pec
	sak support bul move mod
	jor/ec hold
	vik support sca
	sca move let
	jel move abo
	bag move jaz
	ira move bag
	isf move bsr
	ard move ira
	smo move dre
	kie move dre
	nov move est
	ros move nov
	gas move tou
	aqt move aut
	nar move aut
	par support lot
	cad support cod move gra
	cod support snc move cad
	val hold
	snc move tol
	jer move dam
	dam support ale move jer
	ale support ifr move tri
	bar move egy
	sax move bav
	bav support bor move pol
	bre move sgs
	swa move ueg
PHASE 901 Spring Retreat
POSITIONS
	Khaganate of Khazaria: army sak
	Neutral: army btt
	Khaganate of Khazaria: army bnj
	Principality of Kiev: army ros
	Neutral: army ifr
	Eastern Roman Empire: army con
	Neutral: army dal
	Principality of Kiev: army smo
	Neutral: army geo
	West Frankish Kingdom: army aqt
	Neutral: army rom
	Khaganate of Khazaria: army ati
	East Frankish Kingdom: army ueg
	Neutral: army low
	Umayyad Emirate: fleet val
	Umayyad Emirate: fleet cad
	Abbasid Caliphate: army bag
	Abbasid Caliphate: army jaz
	Principality of Kiev: fleet nov
	Tulunid Emirate: fleet egy
	Neutral: army lot
	Neutral: army sad
	West Frankish Kingdom: fleet par
	Tulunid Emirate: army dam
